# GeoNames first-order administrative divisions — admin1CodesASCII.txt
# Source: https://download.geonames.org/export/dump/admin1CodesASCII.txt
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Vendored so data/cities.js regenerates without a network call, and so
# the region on a record is looked up rather than inferred.
# Columns: <country>.<adminCode>  <name>  <asciiName>  <geonameId>
AD.06	Sant Julià de Loria	Sant Julia de Loria
JP.17	Kagawa	Kagawa
JP.15	Ishikawa	Ishikawa
JP.13	Hyōgo	Hyogo
JP.11	Hiroshima	Hiroshima
JP.10	Gunma	Gunma
JP.09	Gifu	Gifu
JP.07	Fukuoka	Fukuoka
JP.06	Fukui	Fukui
JP.05	Ehime	Ehime
JP.01	Aichi	Aichi
JP.44	Yamagata	Yamagata
JP.24	Miyagi	Miyagi
JP.16	Iwate	Iwate
JP.14	Ibaraki	Ibaraki
JP.08	Fukushima	Fukushima
JP.04	Chiba	Chiba
JP.02	Akita	Akita
JP.12	Hokkaidō	Hokkaido
JP.03	Aomori	Aomori
KE.55	West Pokot	West Pokot
KE.54	Wajir	Wajir
KE.52	Uasin Gishu	Uasin Gishu
KE.51	Turkana	Turkana
KE.50	Trans Nzoia	Trans Nzoia
KE.49	Tharaka - Nithi	Tharaka District
KE.48	Tana River	Tana River
KE.46	Siaya	Siaya
KE.45	Samburu	Samburu
KE.05	Nairobi Area	Nairobi Area
KE.38	Murang'A	Murang'a District
KE.37	Mombasa	Mombasa
KE.35	Meru	Meru
KE.34	Marsabit	Marsabit
KE.33	Mandera	Mandera
KE.29	Laikipia	Laikipia
KE.28	Kwale	Kwale
KE.27	Kitui	Kitui
KE.26	Kisumu	Kisumu
KE.25	Kisii	Kisii
KE.24	Kirinyaga	Kirinyaga
KE.23	Kilifi	Kilifi
KE.22	Kiambu	Kiambu
KE.21	Kericho	Kericho
KE.20	Kakamega	Kakamega
KE.18	Isiolo	Isiolo
KE.16	Garissa	Garissa
KE.15	Embu	Embu
KE.13	Busia	Busia
KE.12	Bungoma	Bungoma
KE.10	Baringo	Baringo
KE.43	Nyandarua	Nyandarua
KE.53	Vihiga	Vihiga
KE.30	Lamu	Lamu
KE.31	Machakos	Machakos
KE.32	Makueni	Makueni
KE.14	Elegeyo-Marakwet	Marakwet District
KE.47	Taita Taveta	Taita Taveta
KE.19	Kajiado	Kajiado
KE.44	Nyeri	Nyeri
KE.17	Homa Bay	Homa Bay
KE.11	Bomet	Bomet
KE.36	Migori	Migori
KE.08	Keiyo	Keiyo
KE.39	Nakuru	Nakuru
KE.41	Narok	Narok
KE.42	Nyamira	Nyamira District
KE.40	Nandi	Nandi
KG.08	Osh	Osh
KG.09	Batken	Batken
KG.06	Talas	Talas
KG.04	Naryn	Naryn
KG.07	Ysyk-Köl	Ysyk-Koel
KG.01	Bishkek	Bishkek
KG.03	Jalal-Abad	Jalal-Abad
KG.02	Chüy	Chuy
KH.12	Pursat	Pursat
KH.29	Battambang	Battambang
KH.19	Takeo	Takeo
KH.18	Svay Rieng	Svay Rieng
KH.17	Stung Treng	Stung Treng
KH.27	Ŏtâr Méanchey	Otar Meanchey
KH.24	Siem Reap	Siem Reap
KH.23	Ratanakiri	Ratanakiri
KH.14	Prey Veng	Prey Veng
KH.13	Preah Vihear	Preah Vihear
KH.22	Phnom Penh	Phnom Penh
KH.30	Pailin	Pailin
KH.10	Mondolkiri	Mondolkiri
KH.09	Kratie	Kratie
KH.26	Kep	Kep
KH.08	Koh Kong	Koh Kong
KH.07	Kandal	Kandal
KH.21	Kampot	Kampot
KH.05	Kampong Thom	Kampong Thom
KH.04	Kampong Speu	Kampong Speu
KH.03	Kampong Chhnang	Kampong Chhnang
KH.02	Kampong Cham	Kampong Cham
KH.28	Preah Sihanouk	Preah Sihanouk
KH.25	Banteay Meanchey	Banteay Meanchey
KI.01	Gilbert Islands	Gilbert Islands
KI.02	Line Islands	Line Islands
KI.03	Phoenix Islands	Phoenix Islands
KM.03	Mohéli	Moheli
KM.02	Grande Comore	Grande Comore
KM.01	Anjouan	Anjouan
KN.15	Trinity Palmetto Point	Trinity Palmetto Point
KN.13	Saint Thomas Middle Island	Saint Thomas Middle Island
KN.12	Saint Thomas Lowland	Saint Thomas Lowland
KN.11	Saint Peter Basseterre	Saint Peter Basseterre
KN.10	Saint Paul Charlestown	Saint Paul Charlestown
KN.09	Saint Paul Capesterre	Saint Paul Capesterre
KN.08	Saint Mary Cayon	Saint Mary Cayon
KN.07	Saint John Figtree	Saint John Figtree
KN.06	Saint John Capesterre	Saint John Capesterre
KN.05	Saint James Windwa	Saint James Windwa
KN.04	Saint George Gingerland	Saint George Gingerland
KN.03	Saint George Basseterre	Saint George Basseterre
KN.02	Saint Anne Sandy Point	Saint Anne Sandy Point
KN.01	Christ Church Nichola Town	Christ Church Nichola Town
KP.12	Pyongyang	Pyongyang
KP.15	P'yŏngan-namdo	P'yongan-namdo
KP.11	P'yŏngan-bukto	P'yongan-bukto
KP.09	Kangwŏn-do	Kangwon-do
KP.06	Hwanghae-namdo	Hwanghae-namdo
KP.07	Hwanghae-bukto	Hwanghae-bukto
KP.03	Hamgyŏng-namdo	Hamgyong-namdo
KP.13	Yanggang-do	Yanggang-do
KP.17	Hamgyŏng-bukto	Hamgyong-bukto
KP.01	Chagang-do	Chagang-do
KP.18	Rason	Rason
KR.21	Ulsan	Ulsan
KR.19	Daejeon	Daejeon
KR.15	Daegu	Daegu
KR.11	Seoul	Seoul
KR.10	Busan	Busan
KR.14	Gyeongsangbuk-do	Gyeongsangbuk-do
KR.13	Gyeonggi-do	Gyeonggi-do
KR.18	Gwangju	Gwangju
KR.06	Gangwon-do	Gangwon-do
KR.12	Incheon	Incheon
KR.17	Chungcheongnam-do	Chungcheongnam-do
KR.05	Chungcheongbuk-do	Chungcheongbuk-do
KR.16	Jeollanam-do	Jeollanam-do
KR.03	Jeollabuk-do	Jeollabuk-do
KR.01	Jeju-do	Jeju-do
KR.20	Gyeongsangnam-do	Gyeongsangnam-do
KR.22	Sejong-si	Sejong-si
KW.08	Ḩawallī	Hawalli
KW.02	Al Asimah	Al Asimah
KW.05	Al Jahrāʼ	Muhafazat al Jahra'
KW.07	Al Farwaniyah	Al Farwaniyah
KW.04	Al Aḩmadī	Al Ahmadi
KW.09	Mubārak al Kabīr	Mubarak al Kabir
KZ.07	Batys Qazaqstan	Batys Qazaqstan
KZ.09	Mangghystaū	Mangghystau
KZ.06	Atyraū	Atyrau
KZ.04	Aqtöbe	Aqtoebe
KZ.15	East Kazakhstan	East Kazakhstan
KZ.03	Aqmola	Aqmola
KZ.16	Soltüstik Qazaqstan	Soltustik Qazaqstan
KZ.11	Pavlodar	Pavlodar
KZ.14	Qyzylorda	Qyzylorda
KZ.13	Qostanay	Qostanay
KZ.12	Qaraghandy	Qaraghandy
KZ.17	Zhambyl	Zhambyl
KZ.10	Ongtüstik Qazaqstan	Ongtustik Qazaqstan
KZ.02	Almaty Qalasy	Almaty Qalasy
KZ.01	Almaty Oblysy	Almaty Oblysy
KZ.08	Bayqongyr Qalasy	Bayqongyr Qalasy
KZ.05	Astana Qalasy	Astana Qalasy
LA.14	Xiangkhoang	Xiangkhoang
LA.13	Xiagnabouli	Xiagnabouli
LA.27	Vientiane	Vientiane
LA.20	Savannahkhét	Savannahkhet
LA.19	Salavan	Salavan
LA.18	Phôngsali	Phongsali
LA.07	Oudômxai	Oudomxai
LA.17	Louangphabang	Louangphabang
LA.16	Loungnamtha	Loungnamtha
LA.15	Khammouan	Khammouan
LA.03	Houaphan	Houaphan
LA.02	Champasak	Champasak
LA.01	Attapu	Attapu
LA.26	Xékong	Xekong
LA.22	Bokèo	Bokeo
LA.23	Bolikhamxai	Bolikhamxai
LA.24	Vientiane	Vientiane
LB.05	Mont-Liban	Mont-Liban
LB.04	Beyrouth	Beyrouth
LB.09	Liban-Nord	Liban-Nord
LB.06	Liban-Sud	Liban-Sud
LB.08	Béqaa	Beqaa
LB.07	Nabatîyé	Nabatiye
LB.10	Aakkâr	Aakkar
LB.11	Baalbek-Hermel	Baalbek-Hermel
LC.10	Vieux-Fort	Vieux-Fort
LC.09	Soufrière	Soufriere
LC.11	Praslin	Praslin
LC.08	Micoud Quarter	Micoud Quarter
LC.07	Laborie Quarter	Laborie Quarter
LC.06	Gros-Islet	Gros-Islet
LC.05	Dennery Quarter	Dennery Quarter
LC.02	Dauphin	Dauphin
LC.04	Choiseul Quarter	Choiseul Quarter
LC.03	Castries Quarter	Castries Quarter
LC.01	Anse-la-Raye	Anse-la-Raye
LI.11	Vaduz	Vaduz
LI.10	Triesenberg	Triesenberg
LI.09	Triesen	Triesen
LI.08	Schellenberg	Schellenberg
LI.07	Schaan	Schaan
LI.06	Ruggell	Ruggell
LI.05	Planken	Planken
LI.04	Mauren	Mauren
LI.03	Gamprin	Gamprin
LI.02	Eschen	Eschen
LI.01	Balzers	Balzers
LK.36	Western	Western
LK.35	Uva	Uva
LK.34	Southern	Southern
LK.33	Sabaragamuwa	Sabaragamuwa
LK.32	North Western	North Western
LK.30	North Central	North Central
LK.29	Central	Central
LK.38	Northern Province	Northern Province
LK.37	Eastern Province	Eastern Province
LR.10	Sinoe	Sinoe
LR.09	Nimba	Nimba
LR.14	Montserrado	Montserrado
LR.13	Maryland	Maryland
LR.20	Lofa	Lofa
LR.19	Grand Gedeh	Grand Gedeh
LR.12	Grand Cape Mount	Grand Cape Mount
LR.11	Grand Bassa	Grand Bassa
LR.01	Bong	Bong
LR.15	Bomi	Bomi
LR.16	Grand Kru	Grand Kru
LR.17	Margibi	Margibi
LR.18	River Cess	River Cess
LR.21	Gbarpolu	Gbarpolu
LR.22	River Gee	River Gee
LS.19	Thaba-Tseka	Thaba-Tseka
LS.18	Quthing	Quthing
LS.17	Qachaʼs Nek	Qacha's Nek
LS.16	Mokhotlong	Mokhotlong
LS.15	Mohaleʼs Hoek	Mohale's Hoek District
LS.14	Maseru	Maseru
LS.13	Mafeteng	Mafeteng
LS.12	Leribe	Leribe
LS.11	Butha-Buthe	Butha-Buthe
LS.10	Berea	Berea
LT.56	Alytaus Apskritis	Alytaus Apskritis
LT.57	Kauno Apskritis	Kauno Apskritis
LT.58	Klaipėdos Apskritis	Klaipedos Apskritis
LT.59	Marijampolės Apskritis	Marijampoles Apskritis
LT.60	Panevėžys	Panevezys
LT.61	Šiaulių Apskritis	Siauliu Apskritis
LT.62	Tauragės Apskritis	Taurages Apskritis
LT.63	Telšių Apskritis	Telsiu Apskritis
LT.64	Utenos Apskritis	Utenos Apskritis
LT.65	Vilnius County	Vilnius County
LU.03	Luxembourg	Luxembourg
LU.02	Grevenmacher	Grevenmacher
LU.01	Diekirch	Diekirch
LV.33	Ventspils Rajons	Ventspils Rajons
LV.32	Ventspils	Ventspils
LV.31	Valmieras Rajons	Valmieras Rajons
LV.30	Valkas Rajons	Valkas Rajons
LV.29	Tukuma Rajons	Tukuma Rajons
LV.28	Talsu Rajons	Talsu Rajons
LV.27	Saldus Rajons	Saldus Rajons
LV.25	Rīga	Riga
LV.24	Rēzeknes Rajons	Rezeknes Rajons
LV.23	Rēzekne	Rezekne
LV.22	Preiļu Rajons	Preilu Rajons
LV.21	Ogre	Ogre
LV.20	Madonas Rajons	Madonas Rajons
LV.19	Ludzas Rajons	Ludzas Rajons
LV.18	Limbažu Rajons	Limbazu Rajons
LV.16	Liepāja	Liepaja
LV.15	Kuldīgas Rajons	Kuldigas Rajons
LV.14	Krāslavas Rajons	Kraslavas Rajons
LV.13	Jūrmala	Jurmala
LV.12	Jelgavas Rajons	Jelgavas Rajons
LV.11	Jelgava	Jelgava
LV.10	Jēkabpils Rajons	Jekabpils Rajons
LV.09	Gulbenes Rajons	Gulbenes Rajons
LV.08	Dobeles Rajons	Dobeles Rajons
LV.07	Daugavpils	Daugavpils
LV.06	Daugavpils	Daugavpils
LV.05	Cēsu Rajons	Cesu Rajons
LV.04	Bauskas Rajons	Bauskas Rajons
LV.03	Balvu Rajons	Balvu Rajons
LV.02	Alūksnes Rajons	Aluksnes Rajons
LV.01	Aizkraukles Rajons	Aizkraukles Rajons
LV.60	Dundaga	Dundaga
LV.40	Alsunga	Alsunga
LV.A5	Pāvilostas	Pavilostas
LV.99	Nīca	Nica
LV.B6	Rucavas	Rucavas
LV.65	Grobiņa	Grobina
LV.61	Durbe	Durbe
LV.37	Aizpute	Aizpute
LV.A8	Priekule	Priekule
LV.D7	Vaiņode	Vainode
LV.C9	Skrunda	Skrunda
LV.51	Brocēni	Broceni
LV.B4	Rojas	Rojas
LV.77	Kandava	Kandava
LV.44	Auces Novads	Auces Novads
LV.73	Jaunpils	Jaunpils
LV.62	Engure	Engure
LV.D5	Tērvete	Tervete
LV.A3	Ozolnieku	Ozolnieku
LV.B9	Rundāles	Rundales
LV.45	Babīte	Babite
LV.95	Mārupe	Marupe
LV.A2	Olaine	Olaine
LV.67	Lecava	Lecava
LV.80	Ķekava	Kekava
LV.C3	Salaspils	Salaspils
LV.46	Baldone	Baldone
LV.D2	Stopiņi	Stopini
LV.53	Carnikava	Carnikava
LV.34	Ādaži	Adazi
LV.64	Garkalne	Garkalne
LV.E4	Vecumnieki	Vecumnieki
LV.79	Ķegums	Kegums
LV.87	Lielvārde	Lielvarde
LV.C8	Skrīveri	Skriveri
LV.71	Jaunjelgava	Jaunjelgava
LV.98	Nereta	Nereta
LV.E6	Viesīte	Viesite
LV.C2	Salas	Salas
LV.74	Jēkabpils	Jekabpils
LV.38	Aknīste	Akniste
LV.69	Ilūkste	Ilukste
LV.E2	Vārkava	Varkava
LV.90	Līvāni	Livani
LV.E1	Varakļāni	Varaklani
LV.E8	Vilanu	Vilanu
LV.B3	Riebiņu	Riebinu
LV.35	Aglona	Aglona
LV.56	Cibla	Cibla
LV.E9	Zilupes	Zilupes
LV.E7	Viļaka	Vilaka
LV.47	Baltinava	Baltinava
LV.57	Dagda	Dagda
LV.78	Karsava	Karsava
LV.B7	Rugāju	Rugaju
LV.55	Cesvaine	Cesvaine
LV.91	Lubāna	Lubana
LV.85	Krustpils	Krustpils
LV.A6	Pļaviņu	Plavinu
LV.82	Koknese	Koknese
LV.68	Ikšķile	Ikskile
LV.B5	Ropažu	Ropazu
LV.70	Inčukalns	Incukalns
LV.84	Krimulda	Krimulda
LV.C7	Sigulda	Sigulda
LV.88	Līgatne	Ligatne
LV.94	Mālpils	Malpils
LV.C6	Sēja	Seja
LV.C5	Saulkrastu	Saulkrastu
LV.C1	Salacgrīvas	Salacgrivas
LV.39	Aloja	Aloja
LV.97	Naukšēni	Naukseni
LV.B8	Rūjienas	Rujienas
LV.96	Mazsalaca	Mazsalaca
LV.52	Burtnieki	Burtnieki
LV.A4	Pārgaujas	Pargaujas
LV.81	Kocēni	Koceni
LV.42	Amatas Novads	Amatas Novads
LV.A9	Priekuļi	Priekuli
LV.B1	Raunas	Raunas
LV.D3	Strenči	Strenci
LV.50	Beverīna	Beverina
LV.D1	Smiltene	Smiltene
LV.72	Jaunpiebalga	Jaunpiebalga
LV.63	Ērgļi	Ergli
LV.E3	Vecpiebalga	Vecpiebalga
LV.43	Apes Novads	Apes Novads
LV.F1	Mesraga	Mesraga
LY.70	Darnah	Darnah
LY.69	Banghāzī	Banghazi
LY.66	Al Marj	Al Marj
LY.65	Al Kufrah	Al Kufrah
LY.63	Al Jabal al Akhḑar	Al Jabal al Akhdar
LY.77	Tripoli	Tripoli
LY.76	Surt	Surt
LY.75	Sabhā	Sabha
LY.74	Sha‘bīyat Nālūt	Sha`biyat Nalut
LY.73	Murzuq	Murzuq
LY.72	Mişrātah	Misratah
LY.71	Sha‘bīyat Ghāt	Sha`biyat Ghat
LY.68	Az Zāwiyah	Az Zawiyah
LY.78	Ash Shāţiʼ	Sha`biyat Wadi ash Shati'
LY.64	Al Jufrah	Al Jufrah
LY.67	An Nuqāţ al Khams	An Nuqat al Khams
LY.79	Sha‘bīyat al Buţnān	Sha`biyat al Butnan
LY.80	Sha‘bīyat al Jabal al Gharbī	Sha`biyat al Jabal al Gharbi
LY.81	Sha‘bīyat al Jafārah	Sha`biyat al Jafarah
LY.82	Al Marqab	Al Marqab
LY.83	Sha‘bīyat al Wāḩāt	Sha`biyat al Wahat
LY.84	Sha‘bīyat Wādī al Ḩayāt	Sha`biyat Wadi al Hayat
MA.49	Rabat-Salé-Zemmour-Zaër	Rabat-Sale-Zemmour-Zaer
MA.48	Meknès-Tafilalet	Meknes-Tafilalet
MA.47	Marrakech-Tensift-Al Haouz	Marrakech-Tensift-Al Haouz
MA.46	Fès-Boulemane	Fes-Boulemane
MA.45	Grand Casablanca	Grand Casablanca
MA.50	Chaouia-Ouardigha	Chaouia-Ouardigha
MA.51	Doukkala-Abda	Doukkala-Abda
MA.52	Gharb-Chrarda-Beni Hssen	Gharb-Chrarda-Beni Hssen
MA.53	Guelmim-Es Smara	Guelmim-Es Smara
MA.54	Oriental	Oriental
MA.55	Souss-Massa-Drâa	Souss-Massa-Draa
MA.56	Tadla-Azilal	Tadla-Azilal
MA.57	Tanger-Tétouan	Tanger-Tetouan
MA.58	Taza-Al Hoceima-Taounate	Taza-Al Hoceima-Taounate
MA.59	Laâyoune-Boujdour-Sakia El Hamra	Laayoune-Boujdour-Sakia El Hamra
MA.EH	Oued ed Dahab-Lagouira	Oued ed Dahab-Lagouira
MC.00		Commune de Monaco
MD.73	Raionul Edineţ	Raionul Edinet
MD.92	Ungheni	Ungheni
MD.91	Teleneşti	Telenesti
MD.90	Taraclia	Taraclia
MD.88	Ştefan-Vodă	Stefan-Voda
MD.89	Strășeni	Straseni
MD.87	Raionul Soroca	Raionul Soroca
MD.84	Rîşcani	Riscani
MD.83	Rezina	Rezina
MD.82	Orhei	Orhei
MD.81	Raionul Ocniţa	Raionul Ocnita
MD.59	Anenii Noi	Anenii Noi
MD.80	Nisporeni	Nisporeni
MD.79	Leova	Leova
MD.85	Sîngerei	Singerei
MD.69	Criuleni	Criuleni
MD.78	Laloveni	Laloveni
MD.57	Chişinău	Chisinau
MD.67	Căuşeni	Causeni
MD.65	Cantemir	Cantemir
MD.66	Călăraşi	Calarasi
MD.64	Cahul	Cahul
MD.76	Glodeni	Glodeni
MD.75	Floreşti	Floresti
MD.74	Făleşti	Falesti
MD.72	Dubăsari	Dubasari
MD.71	Drochia	Drochia
MD.70	Donduşeni	Donduseni
MD.68	Cimişlia	Cimislia
MD.63	Briceni	Briceni
MD.61	Basarabeasca	Basarabeasca
MD.77	Hînceşti	Hincesti
MD.86	Şoldăneşti	Soldanesti
MD.58	Stînga Nistrului	Stinga Nistrului
MD.51	Găgăuzia	Gagauzia
MD.62	Bender	Bender
MD.60	Bălţi	Balti
ME.17	Opština Rožaje	Opstina Rozaje
ME.21	Opština Žabljak	Opstina Zabljak
ME.20	Ulcinj	Ulcinj
ME.19	Tivat	Tivat
ME.16	Podgorica	Podgorica
ME.18	Opština Šavnik	Opstina Savnik
ME.15	Opština Plužine	Opstina Pluzine
ME.14	Pljevlja	Pljevlja
ME.13	Opština Plav	Opstina Plav
ME.12	Opština Nikšić	Opstina Niksic
ME.11	Mojkovac	Mojkovac
ME.10	Kotor	Kotor
ME.09	Opština Kolašin	Opstina Kolasin
ME.03	Berane	Berane
ME.08	Herceg Novi	Herceg Novi
ME.07	Danilovgrad	Danilovgrad
ME.06	Cetinje	Cetinje
ME.05	Budva	Budva
ME.04	Bijelo Polje	Bijelo Polje
ME.02	Bar	Bar
ME.01	Andrijevica	Andrijevica
MG.7670842	Diana	Diana
MG.7670846	Sava	Sava
MG.7670847	Sofia	Sofia
MG.7670848	Analanjirofo	Analanjirofo
MG.7670849	Boeny	Boeny
MG.7670850	Betsiboka	Betsiboka
MG.7670851	Alaotra Mangoro	Alaotra Mangoro
MG.7670852	Melaky	Melaky
MG.7670853	Bongolava	Bongolava
MG.7670854	Vakinankaratra	Vakinankaratra
MG.7670855	Itasy	Itasy
MG.7670856	Analamanga	Analamanga
MG.7670857	Atsinanana	Atsinanana
MG.7670902	Menabe	Menabe
MG.7670904	Amoron'i Mania	Amoron'i Mania
MG.7670905	Upper Matsiatra	Upper Matsiatra
MG.7670906	Vatovavy Fitovinany	Vatovavy Fitovinany
MG.7670907	Ihorombe	Ihorombe
MG.7670908	Atsimo-Atsinanana	Atsimo-Atsinanana
MG.7670910	Anosy	Anosy
MG.7670911	Androy	Androy
MG.7670913	Atsimo-Andrefana	Atsimo-Andrefana
MH.007	Ailinginae Atoll	Ailinginae Atoll
MH.010	Ailinglaplap Atoll	Ailinglaplap Atoll
MH.030	Ailuk Atoll	Ailuk Atoll
MH.040	Arno Atoll	Arno Atoll
MH.050	Aur Atoll	Aur Atoll
MH.060	Bikar Atoll	Bikar Atoll
MH.070	Bikini Atoll	Bikini Atoll
MH.080	Ebon Atoll	Ebon Atoll
MH.090	Enewetak Atoll	Enewetak Atoll
MH.100	Erikub Atoll	Erikub Atoll
MH.120	Jaluit Atoll	Jaluit Atoll
MH.150	Kwajalein Atoll	Kwajalein Atoll
MH.160	Lae Atoll	Lae Atoll
MH.180	Likiep Atoll	Likiep Atoll
MH.190	Majuro Atoll	Majuro Atoll
MH.300	Maloelap Atoll	Maloelap Atoll
MH.320	Mili Atoll	Mili Atoll
MH.330	Namdrik Atoll	Namdrik Atoll
MH.340	Namu Atoll	Namu Atoll
MH.350	Rongelap Atoll	Rongelap Atoll
MH.360	Rongrik Atoll	Rongrik Atoll
MH.385	Taka Atoll	Taka Atoll
MH.073	Bokak Atoll	Bokak Atoll
MH.390	Ujae Atoll	Ujae Atoll
MH.400	Ujelang	Ujelang
MH.410	Utrik Atoll	Utrik Atoll
MH.420	Wotho Atoll	Wotho Atoll
MH.430	Wotje Atoll	Wotje Atoll
MH.110	Jabat Island	Jabat Island
MH.130	Jemo Island	Jemo Island
MH.140	Kili Island	Kili Island
MH.170	Lib Island	Lib Island
MH.310	Mejit Island	Mejit Island
MK.E9	Valandovo	Valandovo
MK.86	Resen	Resen
MK.51	Kratovo	Kratovo
MK.78	Pehčevo	Pehcevo
MK.72	Novo Selo	Novo Selo
MK.11	Bosilovo	Bosilovo
MK.A9	Vasilevo	Vasilevo
MK.E5	Dojran	Dojran
MK.08	Bogdanci	Bogdanci
MK.47	Konče	Konce
MK.62	Makedonska Kamenica	Makedonska Kamenica
MK.C6	Zrnovci	Zrnovci
MK.40	Karbinci	Karbinci
MK.25	Demir Kapija	Demir Kapija
MK.87	Rosoman	Rosoman
MK.35	Gradsko	Gradsko
MK.60	Lozovo	Lozovo
MK.19	Češinovo-Obleševo	Cesinovo-Oblesevo
MK.E1	Novaci	Novaci
MK.04	Berovo	Berovo
MK.06	Bitola	Bitola
MK.D9	Mogila	Mogila
MK.01	Aračinovo	Aracinovo
MK.C7	Bogovinje	Bogovinje
MK.12	Brvenica	Brvenica
MK.C8	Čair	Cair
MK.C9	Čaška	Caska
MK.D1	Centar	Centar
MK.18	Centar Župa	Centar Zupa
MK.20	Čučer-Sandevo	Cucer-Sandevo
MK.D2	Debar	Debar
MK.22	Delčevo	Delcevo
MK.D3	Demir Hisar	Demir Hisar
MK.28	Dolneni	Dolneni
MK.29	Opstina Gjorce Petrov	Opstina Gjorce Petrov
MK.30	Drugovo	Drugovo
MK.32	Gazi Baba	Gazi Baba
MK.33	Gevgelija	Gevgelija
MK.D4	Gostivar	Gostivar
MK.36	Ilinden	Ilinden
MK.D5	Jegunovce	Jegunovce
MK.41	Karpoš	Karpos
MK.D6	Kavadarci	Kavadarci
MK.43	Kičevo	Kicevo
MK.44	Kisela Voda	Kisela Voda
MK.46	Kočani	Kocani
MK.52	Kriva Palanka	Kriva Palanka
MK.53	Krivogaštani	Krivogastani
MK.54	Kruševo	Krusevo
MK.D7	Kumanovo	Kumanovo
MK.59	Opstina Lipkovo	Opstina Lipkovo
MK.D8	Makedonski Brod	Makedonski Brod
MK.69	Negotino	Negotino
MK.E2	Ohrid	Ohrid
MK.77	Oslomej	Oslomej
MK.79	Petrovec	Petrovec
MK.80	Plasnica	Plasnica
MK.E3	Prilep	Prilep
MK.83	Probištip	Probistip
MK.84	Radoviš	Radovis
MK.85	Opstina Rankovce	Opstina Rankovce
MK.E4	Opština Rostuša	Opstina Rostusa
MK.90	Saraj	Saraj
MK.92	Sopište	Sopiste
MK.97	Staro Nagoričane	Staro Nagoricane
MK.98	Štip	Stip
MK.E6	Struga	Struga
MK.E7	Strumica	Strumica
MK.A2	Studeničani	Studenicani
MK.A3	Šuto Orizari	Suto Orizari
MK.A4	Sveti Nikole	Sveti Nikole
MK.A5	Tearce	Tearce
MK.E8	Tetovo	Tetovo
MK.F1	Veles	Veles
MK.B3	Vevčani	Vevcani
MK.B4	Vinica	Vinica
MK.B6	Vraneštica	Vranestica
MK.B7	Vrapčište	Vrapciste
MK.C1	Zajas	Zajas
MK.C2	Zelenikovo	Zelenikovo
MK.C3	Želino	Zelino
MK.F3	Aerodrom	Aerodrom
MK.F4	Butel	Butel
MK.F5	Debarca	Debarca
ML.08	Tombouctou	Tombouctou
ML.06	Sikasso	Sikasso
ML.05	Ségou	Segou
ML.04	Mopti	Mopti
ML.07	Koulikoro	Koulikoro
ML.03	Kayes	Kayes
ML.09	Gao	Gao
ML.01	Bamako	Bamako
ML.10	Kidal	Kidal
MM.12	Tanintharyi	Tanintharyi
MM.11	Shan	Shan
MM.10	Sagain	Sagain
MM.17	Yangon	Yangon
MM.01	Rakhine	Rakhine
MM.16	Bago	Bago
MM.13	Mon	Mon
MM.08	Mandalay	Mandalay
MM.15	Magway	Magway
MM.06	Kayah	Kayah
MM.05	Kayin	Kayin
MM.04	Kachin	Kachin
MM.03	Ayeyarwady	Ayeyarwady
MM.02	Chin	Chin
MN.19	Uvs	Uvs
MN.12	Hovd	Hovd
MN.10	Govĭ-Altay	Govi-Altay
MN.09	Dzabkhan	Dzabkhan
MN.03	Bayan-Ölgiy	Bayan-Olgiy
MN.02	Bayanhongor	Bayanhongor
MN.20	Ulaanbaatar	Ulaanbaatar
MN.18	Central Aimak	Central Aimak
MN.17	Sühbaatar	Suhbaatar
MN.16	Selenge	Selenge
MN.15	Övörhangay	OEvoerhangay
MN.14	Ömnögovĭ	OEmnoegovi
MN.13	Hövsgöl	Hovsgol
MN.11	Hentiy	Hentiy
MN.08	Middle Govĭ	Middle Govi
MN.07	East Gobi Aymag	East Gobi Aymag
MN.06	East Aimak	East Aimak
MN.21	Bulgan	Bulgan
MN.01	Arhangay	Arhangay
MN.23	Darhan Uul	Darhan Uul
MN.24	Govĭ-Sumber	Govi-Sumber
MN.25	Orhon	Orhon
MO.02	Macau	Macau
MO.01	Ilhas	Ilhas
MP.100	Rota	Rota
MP.110	Saipan	Saipan
MP.120	Tinian	Tinian
MP.085	Northern Islands	Northern Islands
MQ.MQ	Martinique	Martinique
MR.06	Trarza	Trarza
MR.11	Tiris Zemmour	Tiris Zemmour
MR.09	Tagant	Tagant
MR.NKC	Nouakchott	Nouakchott
MR.12	Inchiri	Inchiri
MR.02	Hodh el Gharbi	Hodh el Gharbi
MR.01	Hodh ech Chargui	Hodh ech Chargui
MR.10	Guidimaka	Guidimaka
MR.04	Gorgol	Gorgol
MR.08	Dakhlet Nouadhibou	Dakhlet Nouadhibou
MR.05	Brakna	Brakna
MR.03	Assaba	Assaba
MR.07	Adrar	Adrar
MS.03	Saint Peter	Saint Peter
MS.02	Saint Georges	Saint Georges
MS.01	Saint Anthony	Saint Anthony
MT.01	Attard	Attard
MT.02	Balzan	Balzan
MT.03	Il-Birgu	Il-Birgu
MT.04	Birkirkara	Birkirkara
MT.05	Birżebbuġa	Birzebbuga
MT.06	Bormla	Bormla
MT.07	Dingli	Dingli
MT.08	Il-Fgura	Il-Fgura
MT.09	Il-Furjana	Il-Furjana
